,ligand,receptor,ligand.name,receptor.name,ligand.synonyms,receptor.synonyms,ligand.altern.names,receptor.altern.names,source,PMIDs,cells.L,cells.R,remarks,Pair.Name,DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor,Pair.Evidence
2105,MMP12,PLAUR,Macrophage metalloelastase,Urokinase plasminogen activator surface receptor,HME,"MO3,UPAR",MME || EC 3.4.24.65 || Macrophage elastase || ME || hME || Matrix metalloproteinase-12 || MMP-12,U-PAR || uPAR || Monocyte activation antigen Mo3 || CD antigen CD87,"HPRD,fantom5",12195704,,,,MMP12_PLAUR,,,,,,,,,
2106,MMP13,LRP1,Collagenase 3,Prolow-density lipoprotein receptor-related protein 1,,"A2MR,APR",EC 3.4.24.- || Matrix metalloproteinase-13 || MMP-13,LRP-1 || Alpha-2-macroglobulin receptor || A2MR || Apolipoprotein E receptor || APOER || CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subuni || LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subuni || LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domai || LRPICD),"HPRD,fantom5,HPMR",10514495,,,,MMP13_LRP1,,,,,,,,,
2107,MMP1,CD44,Interstitial collagenase,CD44 antigen,CLG,"LHR,MDU2,MDU3,MIC4",EC 3.4.24.7 || Fibroblast collagenase || Matrix metalloproteinase-1 || MMP-1) [Cleaved into: 22 kDa interstitial collagenase; 27 kDa interstitial collagenase,CDw44 || Epican || Extracellular matrix receptor III || ECMR-III || GP90 lymphocyte homing/adhesion receptor || HUTCH-I || Heparan sulfate proteoglycan || Hermes antigen || Hyaluronate receptor || Phagocytic glycoprotein 1 || PGP-1 || Phagocytic glycoprotein I || PGP-I || CD antigen CD44,"HPRD,fantom5",11381077,,,,MMP1_CD44,,,,,,,,,
2108,MMP1,ITGA2,Interstitial collagenase,Integrin alpha-2,CLG,CD49B,EC 3.4.24.7 || Fibroblast collagenase || Matrix metalloproteinase-1 || MMP-1) [Cleaved into: 22 kDa interstitial collagenase; 27 kDa interstitial collagenase,CD49 antigen-like family member B || Collagen receptor || Platelet membrane glycoprotein Ia || GPIa || VLA-2 subunit alpha || CD antigen CD49b,"fantom5,HPRD","11359774,11",,,,MMP1_ITGA2,,,,,,,,,
2109,MMP2,SDC2,72 kDa type IV collagenase,Syndecan-2,CLG4A,HSPG1,EC 3.4.24.24 || 72 kDa gelatinase || Gelatinase A || Matrix metalloproteinase-2 || MMP-2 || TBE-1) [Cleaved into: PEX,SYND2 || Fibroglycan || Heparan sulfate proteoglycan core protein || HSPG || CD antigen CD362,fantom5,17623663,,,,MMP2_SDC2,,,,,,,,,
2110,MMP7,CD151,Matrilysin,CD151 antigen,"MPSL1,PUMP1",TSPAN24,EC 3.4.24.23 || Matrin || Matrix metalloproteinase-7 || MMP-7 || Pump-1 protease || Uterine metalloproteinase,GP27 || Membrane glycoprotein SFA-1 || Platelet-endothelial tetraspan antigen 3 || PETA-3 || Tetraspanin-24 || Tspan-24 || CD antigen CD151,"HPRD,fantom5",16200075,,,,MMP7_CD151,,,,,,,,,
2111,MMP7,CD44,Matrilysin,CD44 antigen,"MPSL1,PUMP1","LHR,MDU2,MDU3,MIC4",EC 3.4.24.23 || Matrin || Matrix metalloproteinase-7 || MMP-7 || Pump-1 protease || Uterine metalloproteinase,CDw44 || Epican || Extracellular matrix receptor III || ECMR-III || GP90 lymphocyte homing/adhesion receptor || HUTCH-I || Heparan sulfate proteoglycan || Hermes antigen || Hyaluronate receptor || Phagocytic glycoprotein 1 || PGP-1 || Phagocytic glycoprotein I || PGP-I || CD antigen CD44,"fantom5,HPRD",11825873,,,,MMP7_CD44,,,,,,,,,
2112,MMP7,CDH6,Matrilysin,Cadherin-6,"MPSL1,PUMP1",,EC 3.4.24.23 || Matrin || Matrix metalloproteinase-7 || MMP-7 || Pump-1 protease || Uterine metalloproteinase,Kidney cadherin || K-cadherin,fantom5,,,,,MMP7_CDH6,,,,,,,,,
2113,MMP7,ERBB4,Matrilysin,Receptor tyrosine-protein kinase erbB-4,"MPSL1,PUMP1",HER4,EC 3.4.24.23 || Matrin || Matrix metalloproteinase-7 || MMP-7 || Pump-1 protease || Uterine metalloproteinase,EC 2.7.10.1 || Proto-oncogene-like protein c-ErbB-4 || Tyrosine kinase-type cell surface receptor HER4 || p180erbB4) [Cleaved into: ERBB4 intracellular domai || 4ICD || E4ICD || s80HER4),fantom5,17638887,,,,MMP7_ERBB4,,,,,,,,,
2114,MMP9,CD44,Matrix metalloproteinase-9,CD44 antigen,CLG4B,"LHR,MDU2,MDU3,MIC4",MMP-9 || EC 3.4.24.35 || 92 kDa gelatinase || 92 kDa type IV collagenase || Gelatinase B || GELB) [Cleaved into: 67 kDa matrix metalloproteinase-9; 82 kDa matrix metalloproteinase-9,CDw44 || Epican || Extracellular matrix receptor III || ECMR-III || GP90 lymphocyte homing/adhesion receptor || HUTCH-I || Heparan sulfate proteoglycan || Hermes antigen || Hyaluronate receptor || Phagocytic glycoprotein 1 || PGP-1 || Phagocytic glycoprotein I || PGP-I || CD antigen CD44,"fantom5,HPRD","10652271,18",,,,MMP9_CD44,,,,,,,,,
2115,MMP9,EPHB2,Matrix metalloproteinase-9,Ephrin type-B receptor 2,CLG4B,"DRT,EPHT3,EPTH3,ERK,HEK5,TYRO5",MMP-9 || EC 3.4.24.35 || 92 kDa gelatinase || 92 kDa type IV collagenase || Gelatinase B || GELB) [Cleaved into: 67 kDa matrix metalloproteinase-9; 82 kDa matrix metalloproteinase-9,EC 2.7.10.1 || Developmentally-regulated Eph-related tyrosine kinase || ELK-related tyrosine kinase || EPH tyrosine kinase 3 || EPH-like kinase 5 || EK5 || hEK5 || Renal carcinoma antigen NY-REN-47 || Tyrosine-protein kinase TYRO5 || Tyrosine-protein kinase receptor EPH-3,"HPRD,fantom5",18713744,,,,MMP9_EPHB2,,,,,,,,,
2117,MMP9,ITGB2,Matrix metalloproteinase-9,Integrin beta-2,CLG4B,"CD18,MFI7",MMP-9 || EC 3.4.24.35 || 92 kDa gelatinase || 92 kDa type IV collagenase || Gelatinase B || GELB) [Cleaved into: 67 kDa matrix metalloproteinase-9; 82 kDa matrix metalloproteinase-9,"Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta || Complement receptor C3 subunit beta || CD antigen CD18",fantom5,,,,,MMP9_ITGB2,,,,,,,,,
2118,MMP9,LRP1,Matrix metalloproteinase-9,Prolow-density lipoprotein receptor-related protein 1,CLG4B,"A2MR,APR",MMP-9 || EC 3.4.24.35 || 92 kDa gelatinase || 92 kDa type IV collagenase || Gelatinase B || GELB) [Cleaved into: 67 kDa matrix metalloproteinase-9; 82 kDa matrix metalloproteinase-9,LRP-1 || Alpha-2-macroglobulin receptor || A2MR || Apolipoprotein E receptor || APOER || CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subuni || LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subuni || LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domai || LRPICD),"HPMR,fantom5",11279011,,,,MMP9_LRP1,,,,,,,,,
2119,MST1,MST1R,Hepatocyte growth factor-like protein,Macrophage-stimulating protein receptor,"D3F15S2,DNF15S2,HGFL","PTK8,RON",Macrophage stimulatory protein || Macrophage-stimulating protein || MSP) [Cleaved into: Hepatocyte growth factor-like protein alpha chain; Hepatocyte growth factor-like protein beta chain,MSP receptor || EC 2.7.10.1 || CDw136 || Protein-tyrosine kinase 8 || p185-Ron || CD antigen CD136) [Cleaved into: Macrophage-stimulating protein receptor alpha chain; Macrophage-stimulating protein receptor beta chain,"HPRD,HPMR,fantom5,IUPHAR","8062829,905",,,,MST1_MST1R,,,,,,,,,
2121,MT-RNR2,ADRA2A,Humanin,Alpha-2A adrenergic receptor,HN,"ADRA2R,ADRAR",Humanin mitochondrial || HNM,Alpha-2 adrenergic receptor subtype C10 || Alpha-2A adrenoreceptor || Alpha-2A adrenoceptor || Alpha-2AAR,reactome,,,,,MT-RNR2_ADRA2A,,,,,,,,,
2122,MT-RNR2,GRM7,Humanin,Metabotropic glutamate receptor 7,HN,"GPRC1G,MGLUR7",Humanin mitochondrial || HNM,mGluR7,reactome,,,,,MT-RNR2_GRM7,,,,,,,,,
2123,MT-RNR2,MTNR1A,Humanin,Melatonin receptor type 1A,HN,,Humanin mitochondrial || HNM,Mel-1A-R || Mel1a receptor,reactome,,,,,MT-RNR2_MTNR1A,,,,,,,,,
2125,MUC2,AGR2,Mucin-2,Anterior gradient protein 2 homolog,SMUC,"AG2,UNQ515/PRO1030",MUC-2 || Intestinal mucin-2,AG-2 || hAG-2 || HPC8 || Secreted cement gland protein XAG-2 homolog,fantom5,19359471,,,,MUC2_AGR2,,,,,,,,,
2126,MUC7,SELL,Mucin-7,L-selectin,MG2,"LNHR,LYAM1",MUC-7 || Apo-MG2 || Salivary mucin-7,CD62 antigen-like family member L || Leukocyte adhesion molecule 1 || LAM-1 || Leukocyte surface antigen Leu-8 || Leukocyte-endothelial cell adhesion molecule 1 || LECAM1 || Lymph node homing receptor || TQ1 || gp90-MEL || CD antigen CD62L,"fantom5,HPRD",9538010,,,,MUC7_SELL,,,,,,,,,
2127,MYOC,FZD1,Myocilin,Frizzled-1,"GLC1A,TIGR",,"Myocilin 55 kDa subunit || Trabecular meshwork-induced glucocorticoid response protein) [Cleaved into: Myocilin, N-terminal fragmen || Myocilin 20 kDa N-terminal fragment); Myocilin, C-terminal fragmen || Myocilin 35 kDa N-terminal fragment)",Fz-1 || hFz1 || FzE1,fantom5,19188438,,,,MYOC_FZD1,,,,,,,,,
2128,MYOC,FZD10,Myocilin,Frizzled-10,"GLC1A,TIGR",,"Myocilin 55 kDa subunit || Trabecular meshwork-induced glucocorticoid response protein) [Cleaved into: Myocilin, N-terminal fragmen || Myocilin 20 kDa N-terminal fragment); Myocilin, C-terminal fragmen || Myocilin 35 kDa N-terminal fragment)",Fz-10 || hFz10 || FzE7 || CD antigen CD350,fantom5,19188438,,,,MYOC_FZD10,,,,,,,,,
2129,MYOC,FZD3,Myocilin,Frizzled-3,"GLC1A,TIGR",,"Myocilin 55 kDa subunit || Trabecular meshwork-induced glucocorticoid response protein) [Cleaved into: Myocilin, N-terminal fragmen || Myocilin 20 kDa N-terminal fragment); Myocilin, C-terminal fragmen || Myocilin 35 kDa N-terminal fragment)",Fz-3 || hFz3,fantom5,19188438,,,,MYOC_FZD3,,,,,,,,,
2131,MYOC,FZD7,Myocilin,Frizzled-7,"GLC1A,TIGR",,"Myocilin 55 kDa subunit || Trabecular meshwork-induced glucocorticoid response protein) [Cleaved into: Myocilin, N-terminal fragmen || Myocilin 20 kDa N-terminal fragment); Myocilin, C-terminal fragmen || Myocilin 35 kDa N-terminal fragment)",Fz-7 || hFz7 || FzE3,fantom5,19188438,,,,MYOC_FZD7,,,,,,,,,
2132,NAMPT,INSR,Nicotinamide phosphoribosyltransferase,Insulin receptor,"PBEF,PBEF1",,NAmPRTase || Nampt || EC 2.4.2.12 || Pre-B-cell colony-enhancing factor 1 || Pre-B cell-enhancing factor || Visfatin,IR || EC 2.7.10.1 || CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta,"fantom5,HPMR",15604363,,,,NAMPT_INSR,,,,,,,,,
2133,NCAM1,CACNA1C,Neural cell adhesion molecule 1,Voltage-dependent L-type calcium channel subunit alpha-1C,NCAM,"CACH2,CACN2,CACNL1A1,CCHL1A1",N-CAM-1 || NCAM-1 || CD antigen CD56,"Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle || Voltage-gated calcium channel subunit alpha Cav1.2",fantom5,,,,,NCAM1_CACNA1C,,,,,,,,,
2134,NCAM1,FGFR1,Neural cell adhesion molecule 1,Fibroblast growth factor receptor 1,NCAM,"BFGFR,CEK,FGFBR,FLG,FLT2,HBGFR",N-CAM-1 || NCAM-1 || CD antigen CD56,FGFR-1 || EC 2.7.10.1 || Basic fibroblast growth factor receptor 1 || BFGFR || bFGF-R-1 || Fms-like tyrosine kinase 2 || FLT-2 || N-sam || Proto-oncogene c-Fgr || CD antigen CD331,"HPRD,fantom5",12121226,,,,NCAM1_FGFR1,,,,,,,,,
2135,NCAM1,FGFR2,Neural cell adhesion molecule 1,Fibroblast growth factor receptor 2,NCAM,"BEK,KGFR,KSAM",N-CAM-1 || NCAM-1 || CD antigen CD56,FGFR-2 || EC 2.7.10.1 || K-sam || KGFR || Keratinocyte growth factor receptor || CD antigen CD332,fantom5,,,,,NCAM1_FGFR2,,,,,,,,,
2137,NCAM1,PTPRA,Neural cell adhesion molecule 1,Receptor-type tyrosine-protein phosphatase alpha,NCAM,"PTPA,PTPRL2",N-CAM-1 || NCAM-1 || CD antigen CD56,Protein-tyrosine phosphatase alpha || R-PTP-alpha || EC 3.1.3.48,fantom5,,,,,NCAM1_PTPRA,,,,,,,,,
2138,NCAM1,ROBO1,Neural cell adhesion molecule 1,Roundabout homolog 1,NCAM,DUTT1,N-CAM-1 || NCAM-1 || CD antigen CD56,Deleted in U twenty twenty || H-Robo-1,"fantom5,HPMR",16226035,,,,NCAM1_ROBO1,,,,,,,,,
2139,NCAM1,ROBO3,Neural cell adhesion molecule 1,Roundabout homolog 3,NCAM,,N-CAM-1 || NCAM-1 || CD antigen CD56,Roundabout-like protein 3,"HPMR,fantom5",16226035,,,,NCAM1_ROBO3,,,,,,,,,
2140,NCAN,CDH2,Neurocan core protein,Cadherin-2,"CSPG3,NEUR","CDHN,NCAD",Chondroitin sulfate proteoglycan 3,CDw325 || Neural cadherin || N-cadherin || CD antigen CD325,fantom5,,,,,NCAN_CDH2,,,,,,,,,
2141,NCAN,SDC3,Neurocan core protein,Syndecan-3,"CSPG3,NEUR",KIAA0468,Chondroitin sulfate proteoglycan 3,SYND3,fantom5,,,,,NCAN_SDC3,,,,,,,,,
2142,NDP,FZD4,Norrin,Frizzled-4,EVR2,,Norrie disease protein || X-linked exudative vitreoretinopathy 2 protein,Fz-4 || hFz4 || FzE4 || CD antigen CD344,"fantom5,HPMR",15035989,,,,NDP_FZD4,,,,,,,,,
2143,NDP,LGR4,Norrin,Leucine-rich repeat-containing G-protein coupled receptor 4,EVR2,GPR48,Norrie disease protein || X-linked exudative vitreoretinopathy 2 protein,G-protein coupled receptor 48,"fantom5,HPMR",23444378,,,,NDP_LGR4,,,,,,,,,
2145,NECTIN2,PVRIG,Nectin-2,Transmembrane protein PVRIG,"HVEB,PRR2,PVRL2",C7orf15,Herpes virus entry mediator B || Herpesvirus entry mediator B || HveB || Nectin cell adhesion molecule 2 || Poliovirus receptor-related protein 2 || CD antigen CD112,CD112 receptor || CD112R || Poliovirus receptor-related immunoglobulin domain-containing protein,uniprot,,,,,NECTIN2_PVRIG,,,,,,,,,
2146,NECTIN3,TIGIT,Nectin-3,T-cell immunoreceptor with Ig and ITIM domains,"PRR3,PVRL3","VSIG9,VSTM3",CDw113 || Nectin cell adhesion molecule 3 || Poliovirus receptor-related protein 3 || CD antigen CD113,V-set and immunoglobulin domain-containing protein 9 || V-set and transmembrane domain-containing protein 3,uniprot,,,,,NECTIN3_TIGIT,,,,,,,,,
2148,NGF,MAGED1,Beta-nerve growth factor,Melanoma-associated antigen D1,NGFB,"NRAGE,PP2250,PRO2292",Beta-NGF,MAGE tumor antigen CCF || MAGE-D1 antigen || Neurotrophin receptor-interacting MAGE homolog,fantom5,,,,,NGF_MAGED1,,,,,,,,,
2149,NGF,NGFR,Beta-nerve growth factor,Tumor necrosis factor receptor superfamily member 16,NGFB,TNFRSF16,Beta-NGF,Gp80-LNGFR || Low affinity neurotrophin receptor p75NTR || Low-affinity nerve growth factor receptor || NGF receptor || p75 ICD || CD antigen CD271,"HPRD,fantom5,IUPHAR,HPMR","11114882,15",,,,NGF_NGFR,,,,,,,,,
2150,NGF,NGFRAP1,Beta-nerve growth factor,Alternative protein NGFRAP1,NGFB,,Beta-NGF,,fantom5,,,,,NGF_NGFRAP1,,,,,,,,,
2151,NGF,NTRK1,Beta-nerve growth factor,High affinity nerve growth factor receptor,NGFB,"MTC,TRK,TRKA",Beta-NGF,EC 2.7.10.1 || Neurotrophic tyrosine kinase receptor type 1 || TRK1-transforming tyrosine kinase protein || Tropomyosin-related kinase A || Tyrosine kinase receptor || Tyrosine kinase receptor A || Trk-A || gp140trk || p140-TrkA,"uniprot,fantom5,HPMR,HPRD","10490030,15",,,,NGF_NTRK1,,,,,,,,,
2152,NGF,SORCS3,Beta-nerve growth factor,VPS10 domain-containing receptor SorCS3,NGFB,KIAA1059,Beta-NGF,,"fantom5,HPRD",15710408,,,,NGF_SORCS3,,,,,,,,,
2153,NGF,SORT1,Beta-nerve growth factor,Sortilin,NGFB,,Beta-NGF,100 kDa NT receptor || Glycoprotein 95 || Gp95 || Neurotensin receptor 3 || NT3 || NTR3,"HPRD,fantom5,HPMR",14985763,,,,NGF_SORT1,,,,,,,,,
2154,NID1,COL13A1,Nidogen-1,Collagen alpha-1(XIII) chain,NID,,NID-1 || Entactin,COLXIIIA1,"HPRD,fantom5",11956183,,,,NID1_COL13A1,,,,,,,,,
2155,NID1,ITGA3,Nidogen-1,Integrin alpha-3,NID,MSK18,NID-1 || Entactin,CD49 antigen-like family member C || FRP-2 || Galactoprotein B3 || GAPB3 || VLA-3 subunit alpha || CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain,fantom5,,,,,NID1_ITGA3,,,,,,,,,
2156,NID1,ITGAV,Nidogen-1,Integrin alpha-V,NID,"MSK8,VNRA,VTNR",NID-1 || Entactin,Vitronectin receptor || Vitronectin receptor subunit alpha || CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain,"fantom5,HPRD",9686320,,,,NID1_ITGAV,,,,,,,,,
2158,NID1,ITGB3,Nidogen-1,Integrin beta-3,NID,GP3A,NID-1 || Entactin,Platelet membrane glycoprotein IIIa || GPIIIa || CD antigen CD61,"fantom5,HPRD","8831898,969",,,,NID1_ITGB3,,,,,,,,,
2159,NID1,PTPRF,Nidogen-1,Receptor-type tyrosine-protein phosphatase F,NID,LAR,NID-1 || Entactin,EC 3.1.3.48 || Leukocyte common antigen related || LAR,"fantom5,HPMR",9647658,,,,NID1_PTPRF,,,,,,,,,
2160,NID2,COL13A1,Nidogen-2,Collagen alpha-1(XIII) chain,,,NID-2 || Osteonidogen,COLXIIIA1,"HPRD,fantom5",11956183,,,,NID2_COL13A1,,,,,,,,,
2161,NLGN1,NRXN1,Neuroligin-1,Neurexin-1-beta,KIAA1070,,,Neurexin I-beta || Neurexin-1 || Neurexin I-alpha || Neurexin-1-alpha,"HPRD,HPMR,fantom5","8576240,145",,,,NLGN1_NRXN1,,,,,,,,,
2162,NLGN1,NRXN2,Neuroligin-1,Neurexin-2,KIAA1070,KIAA0921,,Neurexin II-alpha || Neurexin-2-alpha || Neurexin-2-beta || Neurexin II-beta,fantom5,7736595,,,,NLGN1_NRXN2,,,,,,,,,
2163,NLGN1,NRXN3,Neuroligin-1,Neurexin-3,KIAA1070,"C14orf60,KIAA0743",,"Neurexin III-alpha || Neurexin-3-alpha || Neurexin-3-beta || Neurexin III-beta) [Cleaved into: Neurexin-3-beta, soluble form; Neurexin-3-beta, C-terminal fragmen || NRXN3-CTF)","HPMR,fantom5",8576240,,,,NLGN1_NRXN3,,,,,,,,,
2164,NLGN2,NRXN1,Neuroligin-2,Neurexin-1-beta,KIAA1366,,,Neurexin I-beta || Neurexin-1 || Neurexin I-alpha || Neurexin-1-alpha,"HPMR,fantom5,HPRD",8576240,,,,NLGN2_NRXN1,,,,,,,,,
2165,NLGN2,NRXN2,Neuroligin-2,Neurexin-2,KIAA1366,KIAA0921,,Neurexin II-alpha || Neurexin-2-alpha || Neurexin-2-beta || Neurexin II-beta,"fantom5,HPMR",8576240,,,,NLGN2_NRXN2,,,,,,,,,
2167,NLGN3,NRXN1,Neuroligin-3,Neurexin-1-beta,"KIAA1480,NL3",,Gliotactin homolog,Neurexin I-beta || Neurexin-1 || Neurexin I-alpha || Neurexin-1-alpha,"fantom5,HPMR,HPRD","8576240,933",,,,NLGN3_NRXN1,,,,,,,,,
2168,NLGN3,NRXN2,Neuroligin-3,Neurexin-2,"KIAA1480,NL3",KIAA0921,Gliotactin homolog,Neurexin II-alpha || Neurexin-2-alpha || Neurexin-2-beta || Neurexin II-beta,"HPRD,fantom5,HPMR",8576240,,,,NLGN3_NRXN2,,,,,,,,,
2169,NLGN3,NRXN3,Neuroligin-3,Neurexin-3,"KIAA1480,NL3","C14orf60,KIAA0743",Gliotactin homolog,"Neurexin III-alpha || Neurexin-3-alpha || Neurexin-3-beta || Neurexin III-beta) [Cleaved into: Neurexin-3-beta, soluble form; Neurexin-3-beta, C-terminal fragmen || NRXN3-CTF)","fantom5,HPMR,HPRD",8576240,,,,NLGN3_NRXN3,,,,,,,,,
2170,NMB,BRS3,Neuromedin-B [Cleaved into: Neuromedin-B-32; Neuromedin-B],Bombesin receptor subtype-3,,,,BRS-3,fantom5,9920658,,,,NMB_BRS3,,,,,,,,,
2171,NMB,GRPR,Neuromedin-B [Cleaved into: Neuromedin-B-32; Neuromedin-B],Gastrin-releasing peptide receptor,,,,GRP-R || GRP-preferring bombesin receptor,"IUPHAR,fantom5,HPMR","1720612,10454496,7838118,21729729,19463875",,,,NMB_GRPR,,,,,,,,,
2172,NMB,NMBR,Neuromedin-B [Cleaved into: Neuromedin-B-32; Neuromedin-B],Neuromedin-B receptor,,,,NMB-R || Epididymis tissue protein Li 185a || Neuromedin-B-preferring bombesin receptor,"HPRD,HPMR,IUPHAR,fantom5","15169928,10454496,7838118,10544247,8253343,8392057",,,,NMB_NMBR,,,,,,,,,
2173,NMS,ADRA2A,Neuromedin-S,Alpha-2A adrenergic receptor,,"ADRA2R,ADRAR",,Alpha-2 adrenergic receptor subtype C10 || Alpha-2A adrenoreceptor || Alpha-2A adrenoceptor || Alpha-2AAR,reactome,,,,,NMS_ADRA2A,,,,,,,,,
2174,NMS,GRM7,Neuromedin-S,Metabotropic glutamate receptor 7,,"GPRC1G,MGLUR7",,mGluR7,reactome,,,,,NMS_GRM7,,,,,,,,,
2175,NMS,MTNR1A,Neuromedin-S,Melatonin receptor type 1A,,,,Mel-1A-R || Mel1a receptor,reactome,,,,,NMS_MTNR1A,,,,,,,,,
2176,NMS,NMUR1,Neuromedin-S,Neuromedin-U receptor 1,,GPR66,,NMU-R1 || G-protein coupled receptor 66 || G-protein coupled receptor FM-3,"HPRD,HPMR,fantom5,IUPHAR",15635449,,,,NMS_NMUR1,,,,,,,,,
2177,NMS,NMUR2,Neuromedin-S,Neuromedin-U receptor 2,,"NMU2R,TGR1",,NMU-R2 || G-protein coupled receptor FM-4 || G-protein coupled receptor TGR-1,"IUPHAR,fantom5,HPMR",15635449,,,,NMS_NMUR2,,,,,,,,,
2178,NMU,ADRA2A,Neuromedin-U [Cleaved into: Neuromedin-U-25,Alpha-2A adrenergic receptor,,"ADRA2R,ADRAR",NmU-25),Alpha-2 adrenergic receptor subtype C10 || Alpha-2A adrenoreceptor || Alpha-2A adrenoceptor || Alpha-2AAR,reactome,,,,,NMU_ADRA2A,,,,,,,,,
2179,NMU,GRM7,Neuromedin-U [Cleaved into: Neuromedin-U-25,Metabotropic glutamate receptor 7,,"GPRC1G,MGLUR7",NmU-25),mGluR7,reactome,,,,,NMU_GRM7,,,,,,,,,
2180,NMU,MTNR1A,Neuromedin-U [Cleaved into: Neuromedin-U-25,Melatonin receptor type 1A,,,NmU-25),Mel-1A-R || Mel1a receptor,reactome,,,,,NMU_MTNR1A,,,,,,,,,
2181,NMU,NMUR1,Neuromedin-U [Cleaved into: Neuromedin-U-25,Neuromedin-U receptor 1,,GPR66,NmU-25),NMU-R1 || G-protein coupled receptor 66 || G-protein coupled receptor FM-3,"IUPHAR,fantom5,HPMR,HPRD","10894543,15292653,10894543,10899166,15331768,10811630",,,,NMU_NMUR1,,,,,,,,,
2182,NMU,NMUR2,Neuromedin-U [Cleaved into: Neuromedin-U-25,Neuromedin-U receptor 2,,"NMU2R,TGR1",NmU-25),NMU-R2 || G-protein coupled receptor FM-4 || G-protein coupled receptor TGR-1,"HPRD,HPMR,IUPHAR,fantom5","10894543,15292653,10894543,10899166,15331768,10887190",,,,NMU_NMUR2,,,,,,,,,
2183,NODAL,ACVR1B,Nodal homolog,Activin receptor type-1B,,"ACVRLK4,ALK4",,EC 2.7.11.30 || Activin receptor type IB || ACTR-IB || Activin receptor-like kinase 4 || ALK-4 || Serine/threonine-protein kinase receptor R2 || SKR2,"HPMR,fantom5,reactome",11952836,,,,NODAL_ACVR1B,,,,,,,,,
2184,NODAL,ACVR1C,Nodal homolog,Activin receptor type-1C,,ALK7,,EC 2.7.11.30 || Activin receptor type IC || ACTR-IC || Activin receptor-like kinase 7 || ALK-7,"fantom5,HPMR",12606401,,,,NODAL_ACVR1C,,,,,,,,,
2185,NODAL,ACVR2A,Nodal homolog,Activin receptor type-2A,,ACVR2,,EC 2.7.11.30 || Activin receptor type IIA || ACTR-IIA || ACTRIIA,"reactome,HPMR,fantom5",11952836,,,,NODAL_ACVR2A,,,,,,,,,
2187,NODAL,SMAD3,Nodal homolog,Mothers against decapentaplegic homolog 3,,MADH3,,MAD homolog 3 || Mad3 || Mothers against DPP homolog 3 || hMAD-3 || JV15-2 || SMAD family member 3 || SMAD 3 || Smad3 || hSMAD3,reactome,,,,,NODAL_SMAD3,,,,,,,,,
2188,NOV,NOTCH1,Protein NOV homolog,Neurogenic locus notch homolog protein 1,"CCN3,IGFBP9,NOVH",TAN1,NovH || CCN family member 3 || Insulin-like growth factor-binding protein 9 || IBP-9 || IGF-binding protein 9 || IGFBP-9 || Nephroblastoma-overexpressed gene protein homolog,Notch 1 || hN1 || Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncatio || NEXT); Notch 1 intracellular domai || NICD),"HPRD,fantom5,HPMR","15906253,12",,,,NOV_NOTCH1,,,,,,,,,
